song_writer,song_name,lyrics,song_link,american_songbook,disney_renaissance
101 Dalmations,Kanine Krunchies,Kanine Krunchies can't be beat They make each meal a special treat Happy dogs are those who eat Nutritious Kanine Krunchies Kanine Krunchies all contain Selected meat and wholesome grain Toy chihuahua or great dane All love Kanine Krunchies So do what all the smart dogs do And you'll feel great the whole day through You can be a champion too If you eat Kanine Krunchies,http://www.disneyclips.com/lyrics/lyricsdalmatians.html,0,0
101 Dalmations,Cruella De Vil,"Cruella De Vil Cruella De Vil If she doesn't scare you No evil thing will To see her is to take a sudden chill Cruella, Cruella She's like a spider waiting for the kill Look out for Cruella De Vil At first you think Cruella is a devil But after time has worn away the shock You come to realize You've seen her kind of eyes Watching you from underneath a rock This vampire bat, this inhuman beast She ought to be locked up and never released The world was such a wholesome place until Cruella, Cruella De Vil",http://www.disneyclips.com/lyrics/lyrics23.html,0,0
101 Dalmations,Dalmatian Plantation,We'll have a dalmatian plantation Where our population can roam In this new location Our whole aggregation Will love our plantation home Dalmatian plantation home,http://www.disneyclips.com/lyrics/lyrics88.html,0,0
A Goofy Movie,Stand Out,"Open up your eyes, take a look at me Get the picture fixed in your memory I've been driven by the rhythm like the beat of a heart And I won't stop until I start to stand out Some people settle for the typical things Livin' all their lives waitin' in the wings It ain't a question of if, just a matter of time Before I move to the front of the line Once you're watchin' every move that I make You gotta believe that I got what it takes To stand out Above the crowd Even if I gotta shout out loud Till mine is the only face you'll see Gonna stand out till you notice me, yeah If the squeaky wheel's always gettin' the grease I'm totally devoted to disturbin' the peace And I'll do it all again, when I get it done Until I become your number one No method to the madness and no means of escape Gonna break every rule, I'll bend them all out of shape It ain't a question of how, just a matter of when You'll get the message that I'm tryin' to send I'm under a spell, I'm in over my head And you know I'm going all of the way, till the end To stand out Above the crowd Even if I gotta shout out loud Till mine is the only face you'll see Gonna stand out till you notice me, yeah If I can make you stop and take a look at me instead of just Walkin' by There's nothin' that I wouldn't do If it was gettin' you to notice I'm alive All I need is half a chance, a second thought, a second glance to prove I got whatever it takes It's a piece of cake To stand out Above the crowd Even if I gotta shout out loud Till mine is the only face you'll see Gonna stand out Stand out, hey Stand out! Yeah, yeah, yeah, yeah! Stand out! Till mine's the only face you'll see Gonna stand out Till you notice me",http://www.disneyclips.com/lyrics/lyricsgoofy.html,0,0
A Goofy Movie,On the Open Road,"[Goofy:] Do ya need a break from modern livin'? Do ya long to shed your weary load? If your nerves are raw And your brain is fried Just grab a friend and take a ride Together upon the open road C'mon, Maxie! Ah-yuk! [Max:] All in all, I'd rather have detention All in all, I'd rather eat a toad [Goofy:] Yuck! [Max:] And the old man drives like such a klutz That I'm about to hurl my guts Directly upon the road [Goofy:] There's nothin' can upset me 'Cause now we're on our way Our trusty map will guide us straight and true [Max:] Roxanne, please don't forget me I will return someday Though I may be in traction when I do [Goofy:] Me and Max relaxin' like the old days [Max:] This is worse than dragon breath and acne [Goofy:] In a buddy-buddy kind of mode [Max:] I'm so mad I think I may explode [Goofy:] When I see that highway, I could cry [Max:] Ya know, that's funny So could I [Both:] Just bein' out on the open road [Female Country Singers:] Howdy, boys Is this the way to Nashville? [Tow Truck Driver:] Watch it, Mac! Or you'll be gettin' towed [Prisoner:] I'm in no hurry to arrive 'Cause I'll be turnin' sixty-five The next time I sees the open road [Small Man:] Just a week of rest and relaxation [Large Woman:] Yeah! [Small Man:] And the odd romantic episode [Max:] Very odd! [Mickey Mouse:] It's Californ-i-a or bust [Old Lady:] Look out, you dirtbags Eat my dust From now on, I own the open road! [Goofy:] Just me and little Maxie My pip-squeak pioneer [Nuns:] They're partners forever westward ho [Nuns and Goofy:] Yeehaw! [Max:] Could someone call a taxi And get me outta here To Beverly Hills 90210 [Chorus and Goofy:] Every day another new adventure Every mile another new zip code And the cares we had are gone for good [Max:] And I'd go with them if I could [Chorus and Goofy:] I got no strings on me I'm feelin' fancy-free How wonderful to be On the open road!",http://www.disneyclips.com/lyrics/lyricsgoofy3.html,0,0
A Goofy Movie,Nobody Else But You,"[Max:] There are times you drive me, shall we say, bananas And your mind is missin', no offence, a screw [Goofy:] None taken [Max:] Still, whatever mess I land in Who is always understandin'? Nobody else but you [Goofy:] Oh, your moodiness is now and then bewilderin' And your values may be, so to speak, askew [Max:] Gesundheit [Goofy:] Thanks Who deserves a hero's trophy as we face each ""catastro-phee""? Nobody else but you [Both:] Nobody else but you It's just our luck We're stuck together Nobody else but you Is crazy enough to believe we'll come through [Max:] So your jokes are all, let's face it, prehistoric [Goofy:] And your music sounds like monkeys in a zoo [Both:] But when life becomes distressin' Who will I be S.O.S'in? [Max:] If you're havin' trouble guessing, here's a clue Though he seems intoxicated He's just highly animated And he's nobody else but [Both:] Nobody else but you We've turned into a true-blue duo Hard times we've had a few [Goofy:] Like we're thrown in the drink [Max:] Like we're tossed out of town [Both:] But when I start to sink, hey, I'd rather go down With nobody else but Y-O-U!",http://www.disneyclips.com/lyrics/lyricsgoofy6.html,0,0
A Goofy Movie,I 2 I,"Hey, yeah I got myself a notion One I know that you'll understand We set the world in motion By reaching out for each other's hand Maybe we'll discover What we should have known all along One way or another Together's where we both belong If we listen to each other's heart We'll find we're never too far apart And maybe love is the reason why For the first time ever, we're seein' it I-2-I If a wall should come between us Too high to climb, too hard to break through I know that love will lead us And find a way to bring me to you So don't be in a hurry Think before you count us out You don't have to worry I won't ever let you drown (Nothing's gonna stop us now) If we listen to each other's heart We'll find we're never too far apart And maybe love is the reason why For the first time ever, we're seein' it I-2-I Love is why we're seein' it I-2-I (Yes, we are seein' it I-2-I) Seein' it I-2 (Love is why we're seein' it) I think we're seein' it I-2-I (I-2-I) I-2-I We're seein' it I-2-I (I-2-I!) If you're ever lonely, stop! You don't have to be After all, it's only a beat away from you to me (Take a look inside to see) If we listen to each other's heart We'll find we're never too far apart And maybe love is the reason why For the first time ever, we're seein' it I-2-I If we listen to each other's heart We'll find we're never too far apart And maybe love is the reason why For the first time ever, we're seein' it I-2-I Seein' it I-2-I Seein' it I-2-I We're seein' it I-2-I, baby For the first time For the first time I-2-I Seein't it Seein' it, baby Seein' it I-2-I For the first time ever Yeah, yeah, yeah Yeah, baby We're seein' it I-2-I Seein' it (Come on, baby) I-2-I I-2-I I-2-I I-2-I Yeah I-2-I!",http://www.disneyclips.com/lyrics/lyricsgoofy2.html,0,0
A Goofy Movie,After Today,"[Max:] They've been laughin' since I can remember But they're not gonna laugh anymore No more ""Maxie the Geek"" No more ""Goof of the Week"" like before [Girl:] No more algebra tests 'til September [Girl's boyfriend:] No more lookin' at losers like him [Boy 1:] No more havin' to cheat [Boy 2:] No more mystery meat [Boy 1:] No more gym! [Boy 2:] No more gym! [Boy 3:] No more gym! [Boy 4:] NO MORE GYM! [Lisa:] Gonna move to the mall [Chad:] Gonna live in the pool [Max:] Gonna talk to Roxanne and not feel like a fool [Chorus:] 'Cause after today I'm gonna be cruisin' [Max:] After today, she'll be mine! [Chorus:] After today my brains'll be snoozing [Max:] If I don't faint I'll be fine! [Twin girls:] I've got forty more minutes of Home Economics [Twin boys:] Then down with the textbooks [Boy:] And up with the comics! [Max:] Just think of all the time I've been losin' Finding the right thing to say [Chorus:] But things'll be going my way After today [Max:] She looked right through me And who could blame her? I need a new me Plus some positive proof that I'm not just a goof [Cheerleaders:] And after today I'm gonna be cruisin' [Grunge girls:] No more pep rallies to cut Blech! [Chorus:] After today our brains'll be snoozing [Bus driver:] I'm gonna sit on my butt [Max:] I've got less than an hour And when this is ended I'll either be famous [Principal:] Or you'll be suspended! [Chorus:] Just think of all the time I've been losin' Waiting until I could say Gonna be on my own Kiss the parents good-bye Gonna party from now 'til the end of July Things'll be going my way After today [Max:] I wish that this was the day After today",http://www.disneyclips.com/lyrics/lyricsgoofy4.html,0,0
A Goofy Movie,Lester's Possum Park,"Now gather 'round my possum pals Join the jamboree Come hoot and howl and holler from the heart And every chicken, pig and goat'll Help by yelpin' out a yodel Here at Lester's Possum Park Lester's Possum Park Don't ya wanna be a-hangin' from a tree? We're mighty glad to see ya And the parkin's always free Here at Lester's Po-Po-Po-Possum Park!",http://www.disneyclips.com/lyrics/lyricsgoofy5.html,0,0
Aladdin,Prince Ali Lyrics,"
                    Make way for Prince Ali
Say hey! It's Prince Ali

Hey! Clear the way in the old Bazaar
Hey you!
Let us through!
It's a bright new star!
Oh Come!
Be the first on your block to meet his eye!

Make way!
Here he comes!
Ring bells! Bang the drums!
Are you gonna love this guy!

Prince Ali! Fabulous he!
Ali Ababwa
Genuflect, show some respect
Down on one knee!
Now, try your best to stay calm
Brush up your sunday salaam
The come and meet his spectacular corterie

Prince Ali!
Mighty is he!
Ali Ababwa
Strong as ten regular men, definitely!
He faced the galloping hordes
A hundred bad guys with swords
Who sent those goons to their lords?
Why, Prince Ali

He's got seventy-five golden camels
(don't they look lovely june)
Purple peacocks
He's got fifty-three
(fabulous harry, I love the feathers)
When it comes to exotic-type mammals
Has he got a zoo?
I'm telling you, it's a world-class menagerie

Prince Ali! Handsome is he, Ali Ababwa
That physique! How can I speak
Weak at the knee
Well, get on out in that square
Adjust your vein and prepare
To gawk and gravel and stare at Prince Ali!

There's no question this Ali's alluring
Never ordinary, never boring
Everything about the man just plain impresses
He's a winner, he's a whiz, a wonder!
He's about to pull my heart asunder!
And I absolutely love the way he dresses!

He's got ninety-five white Persian monkeys
(He's got the monkeys, let's see the monkeys)
And to view them he charges no fee
(He's generous, so generous)
He's got slaves, he's got servants and flunkies
(Proud to work for him)
They bow to his whim love serving him
They're just lousy with loyalty to Ali! Prince Ali!

Prince Ali!
Amorous he! Ali Ababwa
Heard your princess was a sight lovely to see
And that, good people, is why he got dolled up and dropped by
With sixty elephants, llamas galore
With his bears and lions
A brass band and more
With his forty fakirs, his cooks, his bakers
His birds that warble on key
Make way for prince Ali!                ",https://www.lyricsfreak.com/a/aladdin/ + /a/aladdin/prince+ali_20643448.html,0,1
