song_writer,song_name,lyrics,song_link
Harold Arlen,Ac-Cent-Tchu-Ate The Positive Lyrics,"
                    Gather 'round me, everybody
Gather 'round me, while I preach some
Feel a sermon coming on here
The topic will be sin
And that's what I'm agin'
If you wanna hear my story
Then settle back and just sit tight
While I start reviewing
The attitude of doing right

You got to ac-cent-tchu-ate the positive
E-lim-i-nate the negative
And latch on to the affirmative
Don't mess with mister inbetween

You got to spread joy up to the maximum
Bring gloom down to the minimum
And have faith, or pandemonium
Liable to walk upon the scene

To illustrate my last remark
Jonah in the whale, noah in the ark,
What did they do, just when everything looked so dark?
Man, they said, we better

Ac-cent-tchu-ate the positive
E-lim-i-nate the negative
And latch on to the affirmative
Don't mess with mister inbetween                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/ac+cent+tchu+ate+the+positive_20064343.html
Harold Arlen,As Long As I Live Lyrics,"
                    Maybe I can't live to love you as long as I want to.
Life isn't long enough baby, but I can love you as long as I live.

Maybe I can't give you diamonds and things like I want to,
But I can promise you, baby, I'm gonna want to as long as I live.

I never cared, but now I'm scared, I won't live long enough.
That's why I wear my rubbers when it rains and eat an apple every day then see
The doctor anyway.

What if I can't live to love you as long as I want to.
Long as I promise you, baby, I'm gonna love you as long I live.



I'll even wear long underwear, when winter breezes blow
I'm gonna take good care of me because, a sneeze or two might mean the flu,
And that would never never do

What if I can't live to love you as long as I want to.
Long as I promise you, baby, I'm gonna love you as long I live.
Contributed by heelsfans                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/as+long+as+i+live_20064331.html
Harold Arlen,Between The Devil And The Deep Blue Sea Lyrics,"
                    I don't want you
But I hate to lose you
You've got me in between
The devil and the deep blue sea
I forgive you
'Cause I can't forget you
You've got me in between
The devil and the deep blue sea
I ought to cross you off my list
But when you come a-knocking at my door
Fate seems to give my heart a twist
And I come running back for more
I should hate you
But I guess I love you
You've got me in between
The devil and the deep blue sea                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/between+the+devil+the+deep+blue+sea_20064332.html
Harold Arlen,Blues In The Night Lyrics,"
                    My mama done tol' me, when I was in knee-pants
My mama done tol' me, "" son a woman'll sweet talk""
And
Give ya the big eye, but when the sweet talkin's done
A woman's a two-face, a worrisome thing who'll
Leave ya to sing the blues in the night

Now the rain's a-fallin', hear the train's a-callin,
""whooee!""
(my mama done tol' me) hear dat lonesome whistle blowin' 'cross the trestle, ""whooee!""
(my
Mama done tol' me) a-whooee-ah-whooee ol' clickety-clack's a-echoin' back th' blues in the night
The
Evenin' breeze'll start the trees to cryin' and the moon'll hide it's light when you get the blues in
The night
Take my word, the mockingbird'll sing the saddest kind o' song, he knows things are wrong,
And he's right

From natchez to mobile, from memphis to st. Joe, wherever the four winds blow
I been
In some big towns an' heard me some big talk, but there is one thing I know
A woman's a two-face, a
Worrisome thing who'll leave ya to sing the blues in the night

My mama was right, there's blues in                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/blues+in+the+night_10140622.html
Harold Arlen,Come Rain Or Come Shine Lyrics,"
                    I'm gonna love you, like nobody's loved you
Come rain or come shine
High as a mountain, deep as a river
Come rain or come shine
I guess when you met me
It was just one of those things
But don't you ever bet me
'cause I'm gonna be true if you let me
You're gonna love me, like nobody's loved me
Come rain or come shine
We'll be happy together, unhappy together
Now won't that be just fine
The days may be cloudy or sunny
We're in or out of the money
But I'm with you always
I'm with you rain or shine                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/come+rain+or+come+shine_20064333.html
Harold Arlen,Ding Dong The Witch Is Dead(From The Wizard Of Oz) Lyrics,"
                    Sung to the tune of ""Ding-Dong The Witch Is Dead"" from Wizard Of Oz

Ding-Dong Saddam was found
Where was he? .... Underground!
Ding dong  wicked Saddam was found
Hi Ho the Merry-o
They searched high, they searched low
Ding dong Saddam Hussein was found

Down in a Spider hole
Below, below, below yo-ho
And now we know

Ding Dong Saddam was caught
He didn't do what he ought
Ding Dong wicked Saddam was caught
Hi Ho the merry-o
Now Bush says ""We told you so..""
Ding dong Saddam Hussein was caught                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/ding+dong+the+witch+is+deadfrom+the+wizard+of+oz_20937200.html
Harold Arlen,Ding-Dong! The Witch Is Dead Lyrics,"
                    Ding dong! The witch is dead. Which old witch? The wicked witch!
Ding dong! The wicked witch is dead.
Wake up - sleepy head, rub your eyes, get out of bed.
Wake up, the wicked witch is dead. She's gone where the goblins go,
Below - below - below. Yo-ho, let's open up and sing and ring the bells out.
Ding dong' the merry-oh, sing it high, sing it low.
Let them know
The wicked witch is dead!                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/ding+dong+the+witch+is+dead_20064365.html
Harold Arlen,Don't Like Goodbyes Lyrics,"
                    Don't like good-byes, tears or sighs.
I'm not too good at leavin' time.
I got no taste for grievin' time. No, no - not me.

You've been my near ones, always my dear ones.
I never thought that I would find
Another love, a different kind, but it came to be.

Well, if you think I'm tellin' you lies,
Go try your luck and look into her eyes.
But remember, you must remember she's mine,
And my world over head has a clear new shine.

Don't want to leave you, sorry to grieve you.
It's travelin' time and I must move on.
Found the girl to lean upon.
And if I could arrange it,
Oh would I care to change it? Not me!

(musical interlude)

Don't wanna leave you, sorry to grieve you.
It's travelin' time and I must move on.
Found the gal to lean upon.
And if I could arrange it,
Oh would I care to change it? Not me!                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/dont+like+goodbyes_20064366.html
Harold Arlen,Down With Love Lyrics,"
                    (Lyrics by E. Y. Harburg/Music by Harold Arlen)
Chappell and Co., Inc., ascap

Down with love the flowers and rice and shoes
Down with love the root of all midnight blues
Down with things that give you that well-known pain
Take that moon wrap it in cellophane

Down with love let's liquidate all it's friends
Moon and June and roses and rainbow's ends
Down with songs that moan about night and day
Down with love yes take it away, away

Away
Far away
Give it back to the birds and bees and the Viennese

Down with eyes romantic and stupid
Down with sighs and down with cupid
Brother let's stuff that dove
Down with love

Down with love let's liquidate all it's friends
The moons the Junes the roses and rainbow's ends
Down with songs that moan about night and day
Down with love yes take it away, away

Far away
So very, very far away
Give it back to the birds and the bees and especially the Viennese

Down with eyes romantic and stupid
Down with sighs and down with cupid
Brother let's stuff that dove
Down with love                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/down+with+love_20579200.html
Harold Arlen,For Every Man There's A Woman Lyrics,"
                    For every man there's a woman
For every life there's a plan
And wise men know it was ever so
Since the world began, woman was made for man
Where is she, where is the woman for me?

For every prince there's a princess
For every joe there's a joan
And if you wait, you will find the mate
Born for you alone, happy to be your own
Where is she, where is the woman for me?

Find the one, find the one
Then together you will find the sun

For every heart there's a moment
For every hand, a glove
And for every woman, a man to love



For every heart there's a moment
For every hand, a glove
And for every woman, a man to love
Where is she, where is the one forme?                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/for+every+man+theres+a+woman_20064334.html
