song_writer,song_name,lyrics,song_link
Fats Waller,A Lyrics,"
                    A-Tisket A-Tasket
A green and yellow basket
I bought a basket for my mommie
On the way I dropped it
I dropped it, I dropped it
Yes on the way I dropped it
A little girlie picked it up
And took it to the market
She was truckin' on down the 
Avenue without a single thing to do
She was peck, peck, peckin' all around
When she spied it on the ground
A-Tisket A-Tasket
She took my yellow basket 
And if she doesn't bring it back
I think that I shall die
(Was it red?)
No, no, no, no
(Was it brown?)
No, no, no, no
(Was it blue)
No, no, no, no
Just a little yellow basket                ",https://www.lyricsfreak.com/f/fats+waller/ + /f/fats+waller/a_21391867.html
Fats Waller,A Little Bit Independent Lyrics,"
                    A little bit independent in your walk
A little bit independent in your talk
There's nothing like you in Paris or New York
You're awfully easy on the eyes
A little bit independent when we dance
A little bit independent toward romance
A bit of sophistication in your glance
And yet you're easy on the eyes
Whenever I'm with you alone
You weave a magic spell
And though it be a danger zone
I only know that you're swell
A little bit independent with your smile
A little bit independent in your style
But how can I help but love you all the while
When you're so easy on the eyes                ",https://www.lyricsfreak.com/f/fats+waller/ + /f/fats+waller/a+little+bit+independent_20246403.html
Fats Waller,After You've Gone Lyrics,"
                    Now won't you listen honey, while I say, 
How could you tell me that you're goin' away? 
Don't say that we must part, 
Don't break your baby's heart 

You know I've loved you for these many years, 
Loved you night and day,
Oh! honey baby, can't you see my tears? 
Listen while I say

After you've gone and left me cryin'
After you've gone there's no denyin'
You'll feel blue, you'll feel sad
You'll miss the dearest pal you've ever had

There'll come a time, now don't forget it
There'll come a time when you'll regret it
Someday, when you grow lonely
Your heart will break like mine and you'll want me only
After you've gone, after you've gone away

After you've gone and left me cryin'
After you've gone there's no denyin'
You're gonna feel blue, and you're gonna feel sad
You're gonna feel bad
And you'll miss, and you'll miss,
And you'll miss the bestest pal you ever had

There'll come a time, now don't forget it
There'll come a time when you'll regret it
But baby, think what you're doin'
I'm gonna haunt you so, I'm gonna taunt you so
It's gonna drive you to ruin
After you've gone, after you've gone away.                ",https://www.lyricsfreak.com/f/fats+waller/ + /f/fats+waller/after+youve+gone_21392535.html
Fats Waller,Ain't Misbehavin Lyrics,"
                    No one to talk with, all by myself
No one to walk with, but I'm happy on the shelf
Ain't misbehavin', I'm savin' my love for you.

I know for certain the one you love
I'm through with flirtin', it's just you I'm thinkin' of
Ain't Misbehavin', I'm savin' my love for you.

Like Jack Horner in the corner
don't go nowhere, what do I care
Your kisses are worth waitin' for. .. Believe me.

I don't stay out late, don't care to go
I'm home about 8, just me and my radio
Ain't Misbehavin', I'm savin' my love for you.                ",https://www.lyricsfreak.com/f/fats+waller/ + /f/fats+waller/aint+misbehavin_20278389.html
Fats Waller,All God's Chillun Got Wings Lyrics,"
                    Chillun', listen here to me
This is my philosophy
To see me through the day
To scare my cares away

All God's Chillun Got Rhythm
All God's Chillun got swing
Maybe haven't got money
Maybe haven't got shoes
All God's Chillun Got Rhythm
For to push away the blues
Yeah !

All God's Chillun got trouble
Trouble don't mean a thing
When they start to go ho ho ho de ho
Troubles bound to go 'way, say!

All God's Chillun Got Swing.
",https://www.lyricsfreak.com/f/fats+waller/ + /f/fats+waller/all+gods+chillun+got+wings_21392247.html
Fats Waller,All My Life Lyrics,"
                    All my life,
I've been waiting for you,
My wonderful one,
I've begun,
Living,
All my life.

All my love,
Has been waiting for you,
My life is sublime,
Now that I'm,
Giving,
All my love.

You seem so lovely,
So far above me,
I'm almost afraid to go ga-ga,
But I adore you,
I place before you,
A heart that's an open book.

All my life,
Hold me close to your heart,
But all else above,
Hold my love,
Darling,
All my life.

.......... Lovely,
.......... Above me,
I'm almost afraid to look,
But I adore you,
I place before you,
A heart that's an open book.

All my life,
Hold me close to your heart,
But all else above,
Hold my love,
Darling,
All my life                ",https://www.lyricsfreak.com/f/fats+waller/ + /f/fats+waller/all+my+life_20237827.html
Fats Waller,Basin Street Blues Lyrics,"
                    Won't you come along with me
To the Mississippi
We'll take a boat to the land of dreams
Steam down the river, down to New Orleans

The band's there to meet us
Old friends there to greet us
Where all the proud and elite folks meet
Heaven on earth, they call it Basin Street

Basin Street is the street
Where the best folks always meet
In New Orleans, land of dreams
You'll never know how nice it seems,
Or just how much it really means

Glad to be, oh yes-sirree
Where welcome's free and dear to me
Where I can lose, lose my Basin Street Blues

Basin Street, oh Basin Street
Is the street, mama 
New Orleans, land of dreams                ",https://www.lyricsfreak.com/f/fats+waller/ + /f/fats+waller/basin+street+blues_21392537.html
Fats Waller,Beale Street Blues Lyrics,"
                    I've seen the lights of gay Broadway,
Old Market Street down by the Frisco Bay,
I've strolled the Prado, I've gambled on the Bourse;
The seven wonders of the world I've seen,
And many are the places I have been,
Take my advice, folks, and see Beale Street first!

You'll see pretty browns in beautiful gowns,
You'll see tailor-mades and hand-me-downs,
You'll meet honest men, and pick-pockets skilled,
You'll find that business never ceases 'til somebody gets killed!

If Beale Street could talk, if Beale Street could talk,

Married men would have to take their beds and walk,
Except one or two who never drink booze,
And the blind man on the corner singing ""Beale Street Blues!""

I'd rather be there than any place I know,
I'd rather be there than any place I know,
It's gonna take a sergeant for to make me go!

I'm goin' to the river, maybe by and by,
Yes, I'm goin' to the river, maybe by and by,
Because the river's wet, and Beale Street's done gone dry!                ",https://www.lyricsfreak.com/f/fats+waller/ + /f/fats+waller/beale+street+blues_21391809.html
Fats Waller,Black And Blue Lyrics,"
                    Cold empty bed, springs hard as lead
Pains in my head, feel like old Ned
What did I do to be so black and blue?

No joys for me, no company
Even the mouse ran from my house
All my life through I've been so black and blue

I'm white inside, but that don't help my case
Cause I can't hide what is on my face
I'm so forlorn. Life's just a thorn
My heart is torn. Why was I born?
What did I do to be so black and blue?

I'm hurt inside, but that don't help my case
Cause I can't hide what is on my face
How will it end? Ain't got a friend
My only sin is in my skin
What did I do to be so black and blue?
Tell me, what did I do?
What did I do?  What did I do?
What did I do?  What did I do?
What did I do?  What did I do?
What did I do? Tell me, what did I do to be so black and blue?
What did I do to be so black and blue?                ",https://www.lyricsfreak.com/f/fats+waller/ + /f/fats+waller/black+and+blue_21393009.html
Fats Waller,"Blue, Turning Grey Over You Lyrics","
                    Writers:  Fats Waller/Andy Razaff

Gee, how I miss
Your tender kiss,
And the wonderful things we would do.

Now I run my hands
Through silvery strands--
You left me blue turning grey over you.

You used to be
So good to me--
That's when I was a novelty.

Now, you've new friends in view,
You've found someone new,
And left me blue turning grey over you.                ",https://www.lyricsfreak.com/f/fats+waller/ + /f/fats+waller/blue+turning+grey+over+you_20157073.html
