,coefs,coefs_with_stopword
song,-1.6570696364439657,-1.9621343942180554
this,-1.557220826368717,
see,-1.4232572695117476,
each,-1.274532460709996,
everything,-1.1511663582102714,
is,-1.0779048059142002,
will,-1.0759318237474467,
life,-1.069415973782007,-1.0497998154684347
someone,-1.0510653214623034,
king,-1.0469429586500445,-1.0129018387113153
friends,-1.0420885380317317,-0.7459713813719908
we,-1.0409864898365981,
here,-1.0329096098468267,
now,-1.0322778400019954,
way,-1.0263594287775548,-1.1404430119800573
her,-1.0256069557438612,
inside,-1.01176723916792,-1.1374148625738454
proud,-1.0057097236608408,-0.9246723604479288
gaston,-0.975910120005516,-1.0074931362138295
belle,-0.9607680148927096,-1.1281998547576684
need,-0.9606259342066953,-0.798915325878966
there,-0.9581671176135782,
come,-0.9511896330980968,-0.8128957031031369
wish,-0.9507060820108103,-1.0846835349633803
second,-0.9440456283999293,-0.9150136991528072
ha,-0.940212921842497,-0.8559903252493211
tuppence,-0.9363110368601946,-0.9159261919971815
no,-0.9320075064246673,
finally,-0.9243337302587585,-0.9837769570396014
ali,-0.9063997030361844,-0.8388215478256567
la,-0.9009128525177134,-1.024638021228134
remember,-0.9005381487001973,-0.5049074631701204
aladdin,-0.8957191300720359,-0.9210553888116972
world,-0.8956582959215674,-1.0789752001040962
max,-0.8776176114224573,-0.9326088237991995
goodbye,-0.863936477514413,-1.1177201864715538
chim,-0.8536593473641231,-0.8872925448726168
enough,-0.8483568688577143,
even,-0.8414880078336008,
path,-0.8385379805447827,-1.1510609335098483
makes,-0.8313528619421982,-0.8368723560641574
what,-0.830016210310596,
friend,-0.8286093152456366,-0.7915033955406833
though,-0.827232948401854,
wonder,-0.8253288174482595,-0.8114146616618887
very,-0.8240944757784019,
believing,-0.817739422607656,-0.9872845572631554
welcome,-0.81105538346818,-0.7612369380203403
bop,-0.808797580122753,-0.8050216957956338
guard,-0.8085017539700625,-0.7961659977273466
ho,-0.8069307494574889,-0.7818342221240167
hero,-0.8016834121077492,-0.8445508826474517
best,-0.8014654142054144,-0.5947134987931287
like,-0.8008729521415232,-0.48700222323085685
niin,-0.7926172229935027,-0.786377763995923
own,-0.7889107781609209,
gonna,-0.7880296279766589,-0.8357364229987748
stay,-0.7838056921834295,-1.2750870698193206
getcha,-0.7828186194522838,-0.7997739868389953
feel,-0.7827595199774309,-0.8228930615997699
beauty,-0.7756037420726999,-0.9546882105829776
ariel,-0.7743356386739311,-0.8472869149376057
afternoon,-0.7670727735388061,-0.8957458008772811
trust,-0.7657224880501136,-0.75391278062824
natural,-0.7614278111051198,-0.6931738996749198
our,-0.7612951194048986,
dreaming,-0.757704574740418,-0.939747457890485
les,-0.7517809503984105,-0.646319431528816
