song_writer,song_name,lyrics,song_link
Tarzan,Son Of Man Lyrics,"
                    Oh. the power to be strong
And the wisdom to be wise
All these things will come to you in time
On this journey that you're making
There'll be answers that you'll seek
And it's you who'll climb the mountain
It's you who'll reach the peak

Son of Man, look to the sky
Lift your spirit, set it free
Some day you'll walk tall with pride
Son of Man, a man in time you'll be

Though there's no one there to guide you
No one to take your hand
But with faith and understanding
You will journey from boy to man

Son of Man, look to the sky
Lift your spirit, set it free
Some day you'll walk tall with pride
Son of Man, a man in time you'll be

In learning you will teach
And in teaching you will learn
You'll find your place beside the ones you love
Oh, and all the things you dreamed of
The visions that you saw
Well, the time is drawing near now
It's yours to claim it all

Son of Man, look to the sky
Lift your spirit, set it free
Some day you'll walk tall with pride
Son of Man, a man in time you'll be

Son of Man
Son of Man's a man for all to see                ",https://www.lyricsfreak.com/d/disneys+tarzan/ + /d/disneys+tarzan/son+of+man_20587395.html
Tarzan,Strangers Like Me Lyrics,"
                    Whatever you do, I'll do it too
Show me everything and tell me how
It all means something
And yet nothing to me

I can see there's so much to learn
It's all so close and yet so far
I see myself as people see me
Oh, I just know there's something bigger out there

I wanna know, can you show me
I wanna know about these strangers like me
Tell me more, please show me
Something's familiar about these strangers like me

Every gesture, every move that she makes
Makes me feel like never before
Why do I have
This growing need to be beside her

Ooo, these emotions I never knew
Of some other world far beyond this place
Beyond the trees, above the clouds
I see before me a new horizon

Come with me now to see my world
Where there's beauty beyond your dreams
Can you feel the things I feel
Right now, with you
Take my hand
There's a world I need to know

I wanna know, can you show me
I wanna know about these strangers like me
Tell me more, please show me
Something's familiar about these strangers like me

... I wanna know                ",https://www.lyricsfreak.com/d/disneys+tarzan/ + /d/disneys+tarzan/strangers+like+me_20587394.html
Tarzan,Two Worlds Lyrics,"
                    Put your faith in what you most believe in
Two worlds, one family
Trust your heart
Let fate decide
To guide these lives we see

A paradise untouched by man
Within this world blessed with love
A simple life, they live in peace

Softly tread the sand below your feet now
Two worlds, one family
Trust your heart
Let fate decide
To guide these lives we see

Beneath the shelter of the trees
Only love can enter here
A simple life, they live in peace

Raise your head up
Lift high the load
Take strength from those that need you
Build high the wall
Build strong the beams
A new life is waiting
But danger's no stranger here

No words describe a mother's tears
No words can heal a broken heart
A dream is gone, but where there's hope

Somewhere something is calling for you
Two worlds, one family
Trust your heart
Let fate decide
To guide these lives we see                ",https://www.lyricsfreak.com/d/disneys+tarzan/ + /d/disneys+tarzan/two+worlds_20587393.html
Tarzan,Two Worlds Finale Lyrics,"
                    Put your faith in what you most believe in
Two worlds, one family
Trust your heart
Let fate decide
To guide these lives
To guide these lives we see

Put your faith in what you most believe in
Two worlds, one family                ",https://www.lyricsfreak.com/d/disneys+tarzan/ + /d/disneys+tarzan/two+worlds+finale_20587392.html
Tarzan,Two Worlds Reprise Lyrics,"
                    Every moment now the bond grows stronger
Two worlds, one family
Trust your heart
Let fate decide
To guide these lives we see                ",https://www.lyricsfreak.com/d/disneys+tarzan/ + /d/disneys+tarzan/two+worlds+reprise_20587391.html
Tarzan,You'll Be In My Heart Lyrics,"
                    Come stop your crying
It will be all right
Just take my hand
Hold it tight

I will protect you from all around you
I will be here
Don't you cry

For one so small, you seem so strong
My arms will hold you, keep you safe and warm
This bond between us can't be broken
I will be here
Don't you cry

'Cause you'll be in my heart
Yes, you'll be in my heart
From this day on
Now and forever more

You'll be in my heart
No matter what they say
You'll be in my heart, always
Always                ",https://www.lyricsfreak.com/d/disneys+tarzan/ + /d/disneys+tarzan/youll+be+in+my+heart_20587390.html
Mulan,A Girl Worth Fighting For Lyrics,"
                    For a long time we've,
Been marching off to battle.

In our thundering herd,
We feel a lot like cattle.

Like the pounding beat
Our aching feet aren't easy to ignore

Hey! Think of instead,
A girl worth fighting for

Huh?

That's what I said,
A girl worth fighting for...
I want her paler than the moon,
With eyes that shine like stars

My girl will marvel at my strength,
Adore my battle scars.

I couldn't care less what she'll wear or what she looks like.
It all depends on what she cooks like.
Beef, pork, chicken.
Mmm

Bet the local girls thought you were quite the charmer.

And I'll bet the ladies love a man in armor.

You can guess what we
Have missed the most
Since we went off to war!
What do we want?
A girl worth fighting for.

My girl will think I have no faults.

That I'm a major find.

Uhh, How 'bout a girl who's got a brain,
Who always speaks her mind?

Nah!

My manly ways and turn of phrase are sure to thrill her!

He thinks he's such a lady killer.

I've a girl back home,
Who's unlike any other.

Yeah, the only girl who'd love him is his mother.

But when we come home in victory,
They'll line up at the door
What do we want?
A girl worth fighting for.
Wish that I had...
A girl worth fighting for.
A girl worth fighting-                ",https://www.lyricsfreak.com/m/mulan/ + /m/mulan/a+girl+worth+fighting+for_20772306.html
Mulan,Make A Man Out Of You Lyrics,"
                    (Shang)
Let's get down to business
To defeat the Huns.
Did they send me daughters
When I asked for sons?
You're the saddest bunch I've ever met,
But you can bet before were through,
Mister I'll make a man out of you.

Tranquil as a forest,
But on fire within.
Once you find your center,
You are sure to win.
You're a spineless pale pathetic lot
And you haven't got a clue.
Somehow I'll make a man out of you.

(Chan-Po)I'm never gonna catch my breath.

(Yow)Say goodbye to those who knew me.

(Ling)Why was I a fool in school for cutting gym?

(Mushu)This guy's got them scared to death!

(Mulan/Ping)Hope he doesn't see right through me.

(Chan-Po)Now I really wish that I knew how to swim!

(Be a man)
We must be swift as the coursing river,
(Be a man)
With all the force of a great typhoon,
(Be a man)
With all the strength of a raging fire,
Mysterious as the dark side of the moon.

Time is racing toward us,
'Til the Huns arrive.
Heed my every order,
And you might survive.
You're unsuited for the rage of war,
So pack up, go home, you're through.
How could I make a man out of you?

(Be a man)
We must be swift as the coursing river,
(Be a man)
With all the force of a great typhoon,
(Be a man)
With all the strength of a raging fire,
Mysterious as the dark side of the moon.

(Be a man)
We must be swift as the coursing river,
(Be a man)
With all the force of a great typhoon,
(Be a man)
With all the strength of a raging fire,
Mysterious as the dark side of the moon.                ",https://www.lyricsfreak.com/m/mulan/ + /m/mulan/make+a+man+out+of+you_20618813.html
Mulan,Reflection Lyrics,"
                    Look at me,
I may never pass for a perfect bride, or a perfect daughter.
Can it be,
I'm not meant to play this part?
Now I see, that if I were truly to be myself,
I would break my family's heart.

Who is that girl I see, staring straight back at me?
Why is my reflection someone I don't know?
Somehow I cannot hide?
Who I am, though I've tried.
When will my reflection show, who I am, inside?
How I pray, that a time will come,
I can free myself, from their expectations
On that day, I'll discover someway to be myself,
and to make my family proud.
They want a docile lamb,
No-one knows who I am.
Must there be a secret me,
I'm forced to hide?
Must I pretend that I am someone else for all time?
When will my reflection show, who I am inside?
When will my reflection show, who I am inside?                ",https://www.lyricsfreak.com/m/mulan/ + /m/mulan/reflection_20618814.html
Hercules,A Star Is Born Lyrics,"
                    Gonna shout it from the mountaintops
A star is born
It's a time for pulling out the stops
A star is born
Honey, hit us with a hallelu
The kid came shining through
Girl, sing the song
Come blow your horn
A star is born

He's a hero who can please the crowd
A star is born
Come on ev'rybody shout out loud
A star is born
Just remember in the darkest hour
Whithin your heart's the power
For making you
A hero too
So don't lose hope when you're forlorn
Just keep your eyes
Upon the skies
Ev'ry night a star is
Right in sight a star is
Burning bright
A star is born

Like a beacon in the cold
A star is born
Todd ya ev'rything would turn out right
A star is born
Just when ev'rything was all at sea
The boy made history
The bottom line
He sure can shine
His rising sign is
Capricorn
He knew 'how to'
He had a clue
Telling you
A star is born

Here's a hero who can please the crowd
A star is born
Come on ev'rybody shout out loud
A star is born
Just remember in the darkest hour
Whithin your heart's the power
For making you
A hero too
So don't lose hop when you're forlorn
Just keep your eyes
Upon the skies
Ev'ry night a star is
Right in sight a star is
Burning bright
A star is born                ",https://www.lyricsfreak.com/d/disneys+hercules/ + /d/disneys+hercules/a+star+is+born_20651718.html
