song_writer,song_name,lyrics,song_link
101 Dalmations,Cruella De Vil,"Cruella De Vil Cruella De Vil If she doesn't scare you No evil thing will To see her is to take a sudden chill Cruella, Cruella She's like a spider waiting for the kill Look out for Cruella De Vil At first you think Cruella is a devil But after time has worn away the shock You come to realize You've seen her kind of eyes Watching you from underneath a rock This vampire bat, this inhuman beast She ought to be locked up and never released The world was such a wholesome place until Cruella, Cruella De Vil",http://www.disneyclips.com/lyrics/lyrics23.html
101 Dalmations,Dalmatian Plantation,We'll have a dalmatian plantation Where our population can roam In this new location Our whole aggregation Will love our plantation home Dalmatian plantation home,http://www.disneyclips.com/lyrics/lyrics88.html
101 Dalmations,Kanine Krunchies,Kanine Krunchies can't be beat They make each meal a special treat Happy dogs are those who eat Nutritious Kanine Krunchies Kanine Krunchies all contain Selected meat and wholesome grain Toy chihuahua or great dane All love Kanine Krunchies So do what all the smart dogs do And you'll feel great the whole day through You can be a champion too If you eat Kanine Krunchies,http://www.disneyclips.com/lyrics/lyricsdalmatians.html
Alice In Wonderland,Alice in Wonderland,Alice in Wonderland How do you get to Wonderland Over the hill or under land Or just behind a tree When clouds go rolling by They roll away and leave the sky Where is the land behind the eye People cannot see Where can you see Where do the stars go Where is the crescent moon They must be somewhere in the sunny afternoon Alice in Wonderland Where is the path to Wonderland Over the hill or here or there I wonder where,http://www.disneyclips.com/lyrics/alicelyrics3.html
Alice In Wonderland,All in the Golden Afternoon,"Little bread-and-butterflies kiss the tulips And the sun is like a toy balloon There are get-up-in-the-morning glories In the golden afternoon There are dizzy daffodils on the hillside Strings of violets are all in tune Tiger lilies love the dandelions In the golden afternoon There are dog and cat-erpillars and a copper centipede Where the lazy daisies love the very peaceful life They lead... You can learn a lot of things from the flowers For especially in the month of June There's a wealth of happiness and romance All in the golden afternoon All in the golden afternoon, the golden afternoon You can learn a lot of things from the flowers For especially in the month of June There's a wealth of happiness and romance All in the golden afternoon",http://www.disneyclips.com/lyrics/alicelyrics2.html
Alice In Wonderland,I'm Late,"I'm late! I'm late! For a very important date! No time to say ""hello"", ""goodbye""! I'm late! I'm late! I'm late! No, no, no, no, no, no, no I'm overdue! I'm really in a stew! No time to say ""goodbye"", ""hello""! I'm late! I'm late! I'm late!",http://www.disneyclips.com/lyrics/alicelyrics1.html
Alice In Wonderland,In a World of My Own,Cats and rabbits Would reside in fancy little houses And be dressed in shoes and hats and trousers In a world of my own All the flowers Would have very extra-special powers They would sit and talk to me for hours When I'm lonely in a world of my own There'd be new birds Lots of nice and friendly how-de-do birds Everyone would have a dozen blue birds Within that world of my own I could listen to a babbling brook And hear a song that I could understand I keep wishing it could be that way Because my world would be a wonderland,http://www.disneyclips.com/lyrics/lyricsali1.html
Alice In Wonderland,Old Father William,"You are old, Father William The young man said And your hair has become very white And yet you incessantly stand on your head Do you think at your age it is right, is right Do you think at your age it is right Well, in me youth Father William replied to his son I'd do it again and again...",http://www.disneyclips.com/lyrics/alicelyrics9.html
Alice In Wonderland,Painting the Roses Red,"[Cards:] Painting the roses red We're painting the roses red We dare not stop or waste a drop So let the paint be spread We're painting the roses red We're painting the roses red Painting the roses red And many a tear we shed [Three:] Because we know [Two:] They'll cease to grow [Ace:] In fact, they'll soon be dead [Cards:] And yet we go ahead Painting the roses red Painting the roses red We're painting the roses red [Alice:] Oh, pardon me, but mister three Why must you paint them red? [Cards:] The queen, she likes them red If she saw white instead She'd raise a fuss, and each of us Would quickly lose his head Since this is the thought we dread We're painting the roses red [Alice:] Painting the roses red [All:] We're painting the roses red [All:] Don't tell the queen what you have seen Or say that's what we said But we're painting the roses red [Alice:] Yes, painting the roses red [Two:] Not pink [Three:] Not green [Alice:] Not aquamarine [All:] We're painting the roses red",http://www.disneyclips.com/lyrics/lyrics102.html
Alice In Wonderland,Smoke the Blighter Out,"Oh, we'll smoke the blighter out We'll put the beast to rout Some kindling, a stick or two Ah, this bit of rubbish ought to do We'll smoke the blighter out We'll smoke the monster out! Oh, we'll roast the blighter's toes We'll toast the bounder's nose Just fetch that gate We'll make it clear That monsters aren't welcome here Without a single doubt We'll smoke the monster out! We'll smoke the monster out!",http://www.disneyclips.com/lyrics/alicelyrics7.html
Alice In Wonderland,The Caucus Race,"Forward, backward, inward, outward Come and join the chase Nothing could be drier Than a jolly caucus race Backward, forward, outward, inward Bottom to the top Never a beginning There can never be a stop To skipping, hopping, tripping Fancy-free and gay I started it tomorrow but will finish yesterday Round and round and round we go Until for evermore Once we were behind But now we find we are Forward, backward, inward, outward Come and join the chase Nothing could be drier than a jolly caucus race",http://www.disneyclips.com/lyrics/alicelyrics6.html
Alice In Wonderland,The Un-birthday Song,"A very merry un-birthday To me To who? To me Oh, you A very merry un-birthday To you Who, me? Yes, you Oh, me Let's all congratulate us with another cup of tea A very merry un-birthday to you A very merry un-birthday To me? To you A very merry un-birthday For me? For you Now blow the candle out, my dear And make your wish come true A very merry un-birthday to you",http://www.disneyclips.com/lyrics/alicelyrics4.html
