song_writer,song_name,lyrics,song_link
Brave,Into the Open Air,This love it is a distant star Guiding us home wherever we are This love it is a burning sun Shining a light on the things that we've done I tried to speak to you every day But each word we spoke the wind blew away How did we let it come to this? What we've just tasted we somehow still miss How will it feel when this day is done? And can we keep what we've only begun? Could these walls come crumbling down? I want to feel my feet on the ground Can we carry this love that we share? Into the open air Into the open air Into the open air This love it is a burning sun,http://www.disneyclips.com/lyrics/lyricsbrave2.html
Brave,Learn Me Right," Though I may speak some tongue of old Or even spit out some holy word I have no strength with which to speak When you sit me down and see I'm weak We will run and scream You will dance with me We'll fulfill our dreams And we'll be free We will run and scream You will dance with me We'll fulfill our dreams And we'll be free We will be who we are And they'll heal our scars Sadness will be far away So I have done wrong to put me right My judgment burned in black of night Then I give less than I take It is my fault, my own mistake We will run and scream You will dance with me We'll fulfill our dreams And we'll be free We will be who we are And they'll heal our scars Sadness will be far away",http://www.disneyclips.com/lyrics/lyricsbrave3.html
Brave,Song of Mor'du,"I've hunted for him high 'n low; I've looked him in the eye I've dreamed about the perfect way to make this devil die Come taste mah blade, ye manky bear, for gobblin' up mah leg I'll hunt ye, then I'll skin ye, hang yer noggin on a peg Mor'du, Mor'du, Mor'du, Mor'du Ye'r ancient as the highlands and as unforgivin', too Mor'du, Mor'du, Mor'du, Mor'du Now the time has come for all of us tae slaughter you He's bigger than a Cuillin, killin' armies with his paws Mor'du is never happy till the blood runs from his jaws He murders in the mountains, and he fights with every clan His teeth and jowls have ripped the hearts fae many a highland man Mor'du, Mor'du, Mor'du, Mor'du He's stolen lads and lassies and wee bonnie babies, too Mor'du, Mor'du, Mor'du, Mor'du Now the time has come for all of us tae slaughter you Through glen and bog and peat and fog we'll find yer furry lair And then we'll lance ya, make ya dance; ye'r better aff na mair We'll roast yer rump, add haggis and neeps and fry yer blue blood black We'll mix a slice of thigh with spice and grill ye on the rack Mor'du, Mor'du, Mor'du, Mor'du We'll bile yer heed wi' dumplin' breid tae mak' an ursine stew Mor'du, Mor'du, Mor'du, Mor'du Now the time has come for all the clans tae slaughter you We'll make his hide a cozy chair, his head upon the wall We'll splash a dram of whiskey on his snout at every ball Tales we'll tell from glen to glen of how we slayed the beast And all will toast brave highland men at every royal feast Mor'du, Mor'du, Mor'du, Mor'du The legend spreads from fire tae fire of the devil that we slew Mor'du, Mor'du, Mor'du, Mor'du Now the time has come for all the clans tae slaughter you, hey!",http://www.disneyclips.com/lyrics/lyricsbrave4.html
Brave,Touch the Sky,"When the cold wind is a'calling And the sky is clear and bright Misty mountains sing and beckon Lead me out into the light I will ride, I will fly Chase the wind and touch the sky I will fly Chase the wind and touch the sky Where dark woods hide secrets And mountains are fierce and bold Deep waters hold reflections Of times lost long ago I will hear their every story Take hold of my own dream Be as strong as the seas are stormy And proud as an eagle's scream I will ride, I will fly Chase the wind and touch the sky I will fly Chase the wind and touch the sky And touch the sky Chase the wind Chase the wind Touch the sky",http://www.disneyclips.com/lyrics/lyricsbrave.html
Brother Bear,Great Spirits,"When the earth was young And the air was sweet And the mountains kissed the sky In the far beyond, with its many paths Man and nature lived side by side But great wisdom does not come without learning And great vision not only with our eyes We can think that we see Truly see you're around us But when we look Do we see with open minds? Great Spirits of all who lived before Take our hands and lead us Fill our hearts and souls with all you know The key to understanding Is to see through others' eyes Find a way to help us See from all sides Truly see from all sides Teach our children to look deeper than the surface See the world through another's eyes For to be blind beyond yourself Is to look but not see And knowing much is not enough to be wise To see the wonder In all we've been given In a world that's not always as it seems On the path that we choose Turn every corner Follow on for another begins Great Spirits of all who lived before Take our hands and lead us Fill our hearts and souls With all you know The key to understanding Is to see through others' eyes Find a way to help us See from all sides Truly see from all sides Great Spirits of all who lived before Take our hands and lead us Fill our hearts and souls With all you know The key to understanding Is to see through others' eyes Find a way to help us See from all sides Truly see from all sides See from all sides",http://www.disneyclips.com/lyrics/lyricsbear3.html
Brother Bear,Look Through My Eyes," There are things in life you'll learn and In time you'll see 'Cause out there somewhere It's all waiting If you keep believing So don't run, don't hide It will be all right You'll see, trust me I'll be there watching over you Just take a look through my eyes There's a better place somewhere out there Just take a look through my eyes Everything changes You'll be amazed what you'll find If you look through my eyes There will be times on this journey All you'll see is darkness But out there somewhere daylight finds you If you keep believing So don't run, don't hide It will be all right You'll see, trust me I'll be there watching over you Just take a look through my eyes There's a better place somewhere out there Just take a look through my eyes Everything changes You'll be amazed what you'll find If you look through my eyes All the things that you can change There's a meaning in everything And you will find all you need There's so much to understand Just take a look through my eyes There's a better place somewhere out there Just take a look through my eyes Everything changes You'll be amazed what you'll find If you look through my eyes Take a look through my eyes",http://www.disneyclips.com/lyrics/lyricsbear2.html
Brother Bear,No Way Out,"Everywhere I turn I hurt someone But there's nothing I can say to change The things I've done Of all the things I hid from you I cannot hide the shame And I pray someone, something will come To take away the pain There's no way out of this dark place No hope, no future I know I can't be free But I can't see another way I can't face another day Tell me where did I go wrong Everyone I loved, they're all gone I'd do everything so differently But I can't turn back the time There's no shelter from the storm inside of me Oh, oh, oh, oh, oh There's no way out of this dark place No hope, no future I know I can't be free But I can't see another way I can't face another day I can't believe the words I hear It's like an answer to a prayer When I look around I see This place, this time, this friend of mine I know it's hard But you found somehow To look into your heart And to forgive me now You've given me the strength to see Just where my journey ends You've given me the strength to carry on Oh, oh, oh, oh, oh I see the path from this dark place I see my future Your forgiveness has set me free Oh, and I can see another way I can face another day! I see the path I see the future I see the path from this dark place I see the future I see the path I can see the path I see the future",http://www.disneyclips.com/lyrics/lyricsbear5.html
Brother Bear,On My Way,"Tell everybody I'm on my way New friends and new places to see With blue skies ahead Yes, I'm on my way And there's nowhere else That I'd rather be Tell everybody I'm on my way And I'm loving every step I take With the sun beating down Yes, I'm on my way And I can't keep this smile off my face 'Cause there's nothing like seeing Each other again No matter what the distance between And the stories that we tell Will make you smile Oh, it really lifts my heart So tell 'em all I'm on my way New friends and new places to see And to sleep under the stars Who could ask for more? With the moon keeping watch over me Not the snow, not the rain Can change my mind The sun will come out, wait and see And the feeling of the wind in your face Can lift your heart Oh, there's nowhere I would rather be 'Cause I'm on my way now Well and truly I'm on my way now I'm on my way now I'm on my way now I'm on my way now Tell everybody I'm on my way And I just can't wait to be there With blue skies ahead Yes, I'm on my way And nothing but good times to share So tell everybody I'm on my way And I just can't wait to be home With the sun beating down Yes, I'm on my way And nothing but good times to show I'm on my way Yes, I'm on my way",http://www.disneyclips.com/lyrics/lyricsbear.html
Brother Bear,Transformation (Phil Collins),"Come with me, I'll take you now To a place that you fear For no reason why Your heart has turned away from me And I will make you understand Everything will become clear to you When you see things through another's eyes Everything will become clear to you Whatever's meant for you, you will find Come with me, I'll take you there To a place where you'll see Everything you need To be the one you need to be And all of those things that you feared Will disappear from you in time Everything will become clear to you When you see things through another's eyes Everything will become clear to you Whatever's meant for you, you will find",http://www.disneyclips.com/lyrics/lyricsbear6.html
Brother Bear,Welcome,"Everyone's invited This is how we live We're all here for each other Happy to give All we have we share And all of us we care So, come on! Welcome to our family time Welcome to our brotherly time We're happy giving and taking To the friends we're making There's nothing we won't do Welcome to our family time Welcome to our happy to be time This is our festival, you know And best of all We're here to share it all There's a bond between us Nobody can explain It's a celebration of life And seeing friends again I'd be there for you I know you'd be there for me too So, come on! Welcome to our family time Welcome to our brotherly time This is our festival, you know And best of all We're here to share it all Remembering loved ones departed Someone dear to your hear Finding love, planning a future Telling stories and laughing with friends Precious moments you'll never forget This has to be the most beautiful, the most peaceful place I've ever been to It's nothing like I've ever seen before When I think how far I've come I can't believe it And yet I see it In them I see family I see the way we used to be So, come on! Welcome to our family time Welcome to our brotherly time We're happy giving and taking To the friends we're making There's nothing we won't do Welcome to our family time Welcome to our happy to be time This is our festival, you know And best of all We're here to share it all We're here to share it all",http://www.disneyclips.com/lyrics/lyricsbear4.html
Frozen 2,All Is Found,"Where the north wind meets the sea There's a river full of memory Sleep, my darling, safe and sound For in this river all is found In her waters, deep and true Lie the answers and a path for you Dive down deep into her sound But not too far, or you'll be drowned Yes, she will sing to those who hear And in her song all magic flows But can you brave what you most fear Can you face what the river knows Where the north wind meets the sea There's a mother full of memory Come, my darling, homeward bound When all is lost, then all is found",http://www.disneyclips.com/lyrics/frozen2-all-is-found.html
Frozen 2,All Is Found (end credits),"Where the north wind meets the sea There's a river full of memory Sleep, my darling, safe and sound For in this river all is found All is found When all is lost, then all is found In her waters, deep and true Lie the answers and a path for you Dive down deep into her sound But not too far, or you'll be drowned She will sing to those who hear And in her song all magic flows Can you brave what you most fear Can you face what the river knows Until the river's finally crossed You'll never feel the solid ground You have to get a little lost on your way to being found Where the north wind meets the sea There's a mother full of memory Come, my darling, homeward bound When all is lost, then all is found All is found All is found",http://www.disneyclips.com/lyrics/frozen2-all-is-found-end-credits.html
Frozen 2,Get This Right,"[Kristoff:] It's not you, it's me The timing and the setting aren't what I thought they'd be There's probably someone better for you out there anyway Maybe I just need some space No, I should just come out and say I wanna get this right, baby I wanna thrill you in the way you deserve I wanna blow your mind, darlin' I'm just havin' trouble gettin' up the nerve I wanna give you what you want I wanna be the man you choose I wanna sweep you off your feet Without puking on your shoes Maybe I'll do better in the candlelight I gotta get this right No, no, no, stay right where you are I'll put out the fire, my love I wanna make you swoon, baby I wanna rock you with my righteous romance I wanna set a mood, darling But I'm sweatin' through the seat of these pants [Anna:] Are you okay? [Kristoff:] I had planned to read a poem I thought I'd play a little lute Ooh, here's a thing: I've got a ring I didn't bring, oh, shoot! So this went very well, good night I didn't get this right [Anna:] Kristoff, it's okay, come back! [Kristoff:] I've never been in love before I don't know what I'm doing I've never been too worldly in the ways of woman-wooing I'm freezing up, I'm blowing it - not what I meant to do I know how crazy lucky I am to love you Gorgeous, funny, brave and brilliant Beautiful, won't-give-up-on-anyone you, oh I wanna get this right, baby I wanna love you in the best way I can I wanna make you cry (in a good way) By proving I could be your perfect man I meant to write it in the sky I meant to get down on one knee I planned to really try to be the opposite of me But, Anna, I will love you with all might I promise you, in here, I've got that part right Or maybe we should do this on some other night [Anna:] Wait! Lord Kristoff of Arendelle, will you marry me? [Kristoff:] You got that right, baby [Both:] I'm gonna thrill you in the way you deserve We're gonna get this right, darling As long as we're together, we won't lose our nerve [Kristoff:] I'm gonna be the man you want [Anna:] Guess what? You already are [Kristoff:] I wanna make your life so good [Anna:] You're doing pretty good so far [Both:] We got the hard part over with, now hold me tight We're gonna get this right",http://www.disneyclips.com/lyrics/frozen2-get-this-right.html
